global_step,return_value,intrinsic_reward
7590080,10.0,0.06587049
7601024,18.0,0.07526031
7611352,26.0,0.12208597
7621584,41.0,0.06429437
7632056,21.0,0.1271132
7642216,34.0,0.16655721
7653952,40.0,0.06778581
7664920,22.0,0.047790844
7675704,32.0,0.10473291
7685744,17.0,0.07620366
7696080,27.0,0.14629051
7706096,27.0,0.1739902
7716808,69.0,0.17141701
7727832,26.0,0.047697075
7738752,10.0,0.04577811
7748952,56.0,0.10923049
7759616,29.0,0.056151226
7770744,34.0,0.14960435
7781432,17.0,0.086290285
7793520,33.0,0.047647085
7804200,26.0,0.15024798
7815024,34.0,0.14455453
7825176,30.0,0.11969295
7835696,42.0,0.061840445
7847280,34.0,0.08620281
7858000,26.0,0.07760368
7868472,12.0,0.09453718
7880248,34.0,0.062205076
7890984,28.0,0.13656837
7901624,36.0,0.042857874
7912848,15.0,0.09827879
7924320,28.0,0.25105736
7935344,18.0,0.10745783
7945608,24.0,0.09074746
7956040,53.0,0.14399198
7966728,35.0,0.10825566
7977312,15.0,0.18517381
7987416,45.0,0.1628763
7997816,41.0,0.06504412
8008512,33.0,0.18608311
8020528,28.0,0.053790566
8030648,41.0,0.08226608
8042408,12.0,0.041913673
8052720,40.0,0.13014597
8063008,13.0,0.20622268
8074992,24.0,0.2337645
8086136,58.0,0.08999062
8097440,24.0,0.072826
8108432,31.0,0.12602845
8118696,7.0,0.068910435
8131152,45.0,0.09367101
8141360,6.0,0.039487965
8152176,38.0,0.054151148
8164080,57.0,0.06671727
8174112,26.0,0.10263026
8184560,17.0,0.13994615
8196712,23.0,0.051992193
8207576,45.0,0.10106866
8220712,45.0,0.042335235
8230976,48.0,0.1446589
8241640,53.0,0.09216008
8252016,17.0,0.2244886
8262440,24.0,0.123917535
8274480,27.0,0.24366578
8284528,35.0,0.17519954
8295432,16.0,0.15638888
8306096,23.0,0.15336354
8318032,38.0,0.19551758
8329512,27.0,0.14237097
8340544,51.0,0.092995554
8351544,8.0,0.078508064
8361920,16.0,0.10584216
8372104,45.0,0.073808625
8382352,61.0,0.08579282
8394800,18.0,0.13874163
